"Epic","Story ID","Summary","Description","Priority","Sprint","Story Points","Dependencies","Acceptance Criteria","Labels"
"FX and Pricing","BLP-131","Rate ingestion adapter","As system, I ingest and cache FX rates from configured providers.","P1","Sprint 2","5","None","Rates refresh on schedule; stale rates are flagged; source metadata is stored.","phase1,fx"
"FX and Pricing","BLP-132","Quote service","As user, I can see rate, spread, fee, and payout amount before confirmation.","P0","Sprint 2","8","BLP-131","Quote has expiry; fee/spread are versioned; response includes final receivable amount.","phase1,fx,pricing"
"FX and Pricing","BLP-133","Conversion posting integration","As system, cross-currency transfers post correctly to ledger.","P1","Sprint 3","5","BLP-122; BLP-132","Conversion uses accepted quote; gain/loss fields are logged for reconciliation.","phase1,fx,ledger"
"Internal Transfers","BLP-141","Wallet-to-wallet transfer API","As users, I can transfer between Beelapay wallets.","P0","Sprint 2","8","BLP-122","Transfers are idempotent; status lifecycle is stored; balances update atomically.","phase1,transfers"
"Internal Transfers","BLP-142","Master to attached transfer flow","As master, I can transfer to linked attached users quickly.","P0","Sprint 2","3","BLP-111; BLP-141","Linked recipients are selectable; limit checks apply; success triggers SMS.","phase1,family,transfers"
"Internal Transfers","BLP-143","Transaction history endpoints","As users, I can view recent transactions and statuses.","P1","Sprint 3","5","BLP-141","History supports paging and filters; each item shows amount, channel, and status.","phase1,transfers,ux"
"USSD Channel","BLP-151","USSD session framework","As feature-phone users, I can authenticate and navigate core menus.","P0","Sprint 2","8","BLP-101","Session timeout works; PIN validation is enforced; retries are rate-limited.","phase1,ussd"
"USSD Channel","BLP-152","USSD balance and mini-statement","As feature-phone users, I can check balance and recent transactions.","P0","Sprint 3","5","BLP-151; BLP-143","Balance returns available funds; mini-statement shows latest transactions.","phase1,ussd"
"USSD Channel","BLP-153","USSD send money flow","As feature-phone users, I can send money using USSD steps.","P0","Sprint 3","8","BLP-151; BLP-141","Send flow confirms recipient and amount; success and failure return explicit message.","phase1,ussd,transfers"
"Merchant Payments","BLP-161","Merchant onboarding workflow","As ops, I can onboard a merchant and assign merchant identifier.","P1","Sprint 3","5","BLP-101","Merchant profile status includes pending, active, suspended; changes are audited.","phase1,merchant"
"Merchant Payments","BLP-162","Merchant payment authorization","As customer, I can pay a merchant through selected channel.","P0","Sprint 3","8","BLP-141; BLP-161","Authorization checks balance and limits; merchant receives confirmation.","phase1,merchant,payments"
"Merchant Payments","BLP-163","Merchant settlement status","As ops, I can track merchant payment settlement lifecycle.","P1","Sprint 4","5","BLP-162","Each payment has settlement state; settlement exceptions are visible in queue.","phase1,merchant,settlement"
"External Payout Rails","BLP-171","Payout rail adapter (first rail)","As system, I can send payout requests to one external partner rail.","P0","Sprint 3","13","BLP-141","Adapter handles request signing, retries, and timeout policy.","phase1,partners,payout"
"External Payout Rails","BLP-172","Partner callback handler","As system, I can process async status callbacks idempotently.","P0","Sprint 3","5","BLP-171","Duplicate callbacks do not double-post; terminal status updates transaction state.","phase1,partners,payout"
"External Payout Rails","BLP-173","Payout exception management","As ops, I can review and resolve failed payout cases.","P1","Sprint 4","5","BLP-172","Exception queue includes failure codes, retries, and manual resolution notes.","phase1,ops,payout"
"Notifications","BLP-181","SMS OTP service","As users, I receive OTP via SMS for login and sensitive actions.","P0","Sprint 1","5","BLP-101","OTP delivery is logged; resend policy enforced; expired OTPs rejected.","phase1,sms,auth"
"Notifications","BLP-182","Transaction confirmation alerts","As users, I receive SMS confirmations for balance-changing events.","P0","Sprint 2","3","BLP-141; BLP-181","Every successful transfer/payment triggers SMS; template variables render correctly.","phase1,sms,notifications"
"Notifications","BLP-183","Master alert on attached spend","As master, I get alerts when attached users spend funds.","P1","Sprint 3","3","BLP-113; BLP-162; BLP-182","Alert includes attached user alias, amount, and merchant/reference.","phase1,sms,family"
"Admin and Reconciliation","BLP-191","Transaction search console","As ops, I can search transactions by user, phone, or reference ID.","P0","Sprint 3","5","BLP-141","Search returns full status timeline and linked ledger references.","phase1,ops,admin"
"Admin and Reconciliation","BLP-192","Daily ledger reconciliation job","As finance, I can reconcile internal ledger against partner settlement data.","P0","Sprint 4","8","BLP-122; BLP-171","Daily report produced; mismatches are categorized and queued for review.","phase1,reconciliation,finance"
"Admin and Reconciliation","BLP-193","Suspicious activity rules","As compliance, I can flag high-risk transaction patterns for review.","P1","Sprint 4","5","BLP-141; BLP-191","Rules generate cases with severity and reason; case actions are audited.","phase1,risk,compliance"
"Security and Platform","BLP-201","MFA for master accounts","As master users, I can enable MFA for account protection.","P1","Sprint 4","5","BLP-101","MFA challenge applies to sensitive actions; backup recovery path exists.","phase1,security,auth"
"Security and Platform","BLP-202","Audit event store","As audit/compliance, I have immutable records of critical actions.","P0","Sprint 2","8","BLP-101; BLP-122","Critical events are append-only; event schema includes actor, time, and context.","phase1,audit,security"
"Security and Platform","BLP-203","Operational monitoring and alerting","As engineering, I can monitor failures, latency, and partner rail health.","P1","Sprint 4","5","BLP-171; BLP-192","Dashboards and alerts exist for core APIs, queue failures, and payout latency.","phase1,sre,platform"
